GEN_ID,PLANT_NAME,PLANT_TYPE,FUEL_TYPE,ZONE,BUS,PG,PMAX,PMIN,COST
50189_B_1HFB,Domtar Paper Co LLC Plymouth NC,Biomass,Biomass,PJM_Dom,0,0,22.7,0,7.39
50189_B_2HFB,Domtar Paper Co LLC Plymouth NC,Biomass,Biomass,PJM_Dom,0,0,19.2,0,7.39
50189_B_5REC,Domtar Paper Co LLC Plymouth NC,Non-Fossil Waste,Non-Fossil Waste,PJM_Dom,0,0,73.0,0,0.0
50215_B_101,York County Resource Recovery,Municipal Solid Waste,MSW,PJM_WMAC,0,0,10.0,0,0.0
50215_B_102,York County Resource Recovery,Municipal Solid Waste,MSW,PJM_WMAC,0,0,10.0,0,0.0
50215_B_103,York County Resource Recovery,Municipal Solid Waste,MSW,PJM_WMAC,0,0,10.0,0,0.0
50279_B_MAIN,Archbald Power Station,Landfill Gas,Landfill Gas,PJM_WMAC,0,0,20.0,0,1.5
50366_B_BLR1,University of Notre Dame,O/G Steam,Natural Gas,PJM_West,0,0,2.6,0,2.55
50366_B_BLR2,University of Notre Dame,O/G Steam,Natural Gas,PJM_West,0,0,2.6,0,2.55
2828_B_1,Cardinal,Coal Steam,Bituminous,PJM_West,0,0,585.0,0,2.14
2828_B_2,Cardinal,Coal Steam,Bituminous,PJM_West,0,0,585.0,0,2.14
2828_B_3,Cardinal,Coal Steam,Bituminous,PJM_West,0,0,620.0,0,2.14
2876_B_1,Kyger Creek,Coal Steam,"Bituminous, Subbituminous",PJM_West,0,0,194.0,0,2.14
2876_B_2,Kyger Creek,Coal Steam,"Bituminous, Subbituminous",PJM_West,0,0,192.0,0,2.14
2876_B_3,Kyger Creek,Coal Steam,"Bituminous, Subbituminous",PJM_West,0,0,192.0,0,2.14
2876_B_4,Kyger Creek,Coal Steam,"Bituminous, Subbituminous",PJM_West,0,0,192.0,0,2.14
2876_B_5,Kyger Creek,Coal Steam,"Bituminous, Subbituminous",PJM_West,0,0,192.0,0,2.14
2878_B_1,FirstEnergy Bay Shore,Coal Steam,Petroleum Coke,PJM_ATSI,0,0,139.0,0,1.8
2914_B_4,Dover,Coal Steam,Bituminous,PJM_West,0,0,23.2,0,2.14
2935_B_10,Orrville,Coal Steam,Bituminous,PJM_West,0,0,6.7,0,2.14
2935_B_11,Orrville,Coal Steam,Bituminous,PJM_West,0,0,6.7,0,2.14
2935_B_12,Orrville,O/G Steam,Natural Gas,PJM_West,0,0,30.0,0,2.55
2935_B_13,Orrville,Coal Steam,Bituminous,PJM_West,0,0,23.0,0,2.14
2936_B_3,Painesville,Coal Steam,Bituminous,PJM_ATSI,0,0,9.8,0,2.14
2936_B_4,Painesville,Coal Steam,Bituminous,PJM_ATSI,0,0,18.6,0,2.14
2936_B_5,Painesville,Coal Steam,Bituminous,PJM_ATSI,0,0,18.6,0,2.14
3118_B_1,Conemaugh,Coal Steam,Bituminous,PJM_PENE,0,0,850.0,0,2.14
3118_B_2,Conemaugh,Coal Steam,Bituminous,PJM_PENE,0,0,850.0,0,2.14
3130_B_1,Seward (PA),Coal Steam,Waste Coal,PJM_PENE,0,0,260.0,0,5.53
3130_B_2,Seward (PA),Coal Steam,Waste Coal,PJM_PENE,0,0,260.0,0,5.53
