region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,LDS,CapRes_1,ESR_1,ESR_2,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag_1,MinCapTag_2,MinCapTag_3
PJM_West,1,10546_G_GEN1,conventional_hydroelectric,1,1,1,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,10546_G_GEN2,conventional_hydroelectric,1,1,2,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,10546_G_GEN3,conventional_hydroelectric,1,1,3,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_PENE,1,10152_G_L-1,conventional_hydroelectric,1,1,4,1,0.8,0,1,0.7,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_PENE,1,10152_G_L-2,conventional_hydroelectric,1,1,5,1,0.8,0,1,0.7,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_PENE,1,10152_G_L-4,conventional_hydroelectric,1,1,6,1,0.8,0,1,0.7,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_PENE,1,10152_G_L-5,conventional_hydroelectric,1,1,7,1,0.8,0,1,0.7,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_Dom,1,10155_G_1,conventional_hydroelectric,1,1,8,1,0.8,0,1,2.9,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,10285_G_GEN1,conventional_hydroelectric,1,1,9,1,0.8,0,1,2.1,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,10285_G_GEN2,conventional_hydroelectric,1,1,9,1,0.8,0,1,2.1,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,10798_G_GEN1,conventional_hydroelectric,1,1,9,1,0.8,0,1,2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,10798_G_GEN2,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.8,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,10798_G_GEN3,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,10798_G_GEN4,conventional_hydroelectric,1,1,9,1,0.8,0,1,2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_COMD,1,10903_G_1GEN,conventional_hydroelectric,1,1,9,1,0.8,0,1,6,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_COMD,1,10903_G_2GEN,conventional_hydroelectric,1,1,9,1,0.8,0,1,6,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_PENE,1,1567_G_1,conventional_hydroelectric,1,1,9,1,0.8,0,1,9,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_PENE,1,1567_G_2,conventional_hydroelectric,1,1,9,1,0.8,0,1,9,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1359_G_1,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.7,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1359_G_2,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.9,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1359_G_3,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.7,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_1,conventional_hydroelectric,1,1,9,1,0.8,0,1,48,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_10,conventional_hydroelectric,1,1,9,1,0.8,0,1,65,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_11,conventional_hydroelectric,1,1,9,1,0.8,0,1,65,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_2,conventional_hydroelectric,1,1,9,1,0.8,0,1,36,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_3,conventional_hydroelectric,1,1,9,1,0.8,0,1,48,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_4,conventional_hydroelectric,1,1,9,1,0.8,0,1,48,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_5,conventional_hydroelectric,1,1,9,1,0.8,0,1,36,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_6,conventional_hydroelectric,1,1,9,1,0.8,0,1,48,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_7,conventional_hydroelectric,1,1,9,1,0.8,0,1,48,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_8,conventional_hydroelectric,1,1,9,1,0.8,0,1,65,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_EMAC,1,1574_G_9,conventional_hydroelectric,1,1,9,1,0.8,0,1,65,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_10,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_11,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_12,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_1A,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_2A,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_3A,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_4A,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_5,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_6,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_7,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_8,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1753_G_9,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.4,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_1,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_10,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_2,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_3,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_4,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_5,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_6,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_7,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_8,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1754_G_9,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.2,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1760_G_1,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.1,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1760_G_2,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.1,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
PJM_West,1,1760_G_3,conventional_hydroelectric,1,1,9,1,0.8,0,1,0.1,0,0,0,0,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.117,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
