Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
2830_G_BECK1,1,1,1,0,2,8,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_West,0
2830_G_BECK2,2,1,1,0,2,8,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_West,0
3164_G_1,3,1,1,0,134,1340,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_EMAC,0
3164_G_2,4,1,1,0,133,1330,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_EMAC,0
3164_G_3,5,1,1,0,134,1340,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_EMAC,0
3164_G_4,6,1,1,0,134,1340,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_EMAC,0
3164_G_5,7,1,1,0,134,1340,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_EMAC,0
3164_G_6,8,1,1,0,133,1330,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_EMAC,0
3164_G_7,9,1,1,0,134,1340,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_EMAC,0
3164_G_8,9,1,1,0,134,1340,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_EMAC,0
3780_G_1,9,1,1,0,66,660,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_West,0
3780_G_3,9,1,1,0,106,1060,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_West,0
3780_G_5,9,1,1,0,66,660,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.85,0.85,1,10,0,0,0,0,PJM_West,0
55370_G_BGM,9,1,1,0,10.4,41.6,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_PENE,0
57325_G_BFT,9,1,1,0,20,80,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_COMD,0
57447_G_2,9,1,1,0,16,64,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_AP,0
57716_G_HRS1,9,1,1,0,20,80,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_WMAC,0
58475_G_BOU,9,1,1,0,4,16,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_West,0
59296_G_NWO-B,9,1,1,0,0.8,3.2,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_West,0
59949_G_BESS1,9,1,1,0,5,20,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_AP,0
59957_G_GIVB,9,1,1,0,4.5,18,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_COMD,0
59957_G_GRES,9,1,1,0,31.5,126,-1,-1,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,0,0,0,0,PJM_COMD,0
