Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
50189_B_1HFB,4,1,1,0,22.7,-1,0,65400,16291,4.5,4.757,Biomass,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
50189_B_2HFB,4,1,1,0,19.2,-1,0,65400,16291,4.5,4.757,Biomass,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
50189_B_5REC,4,1,1,0,73,-1,0,65400,16291,4.5,4.757,Non-Fossil Waste,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
50215_B_101,8,1,1,0,10,-1,0,65400,16291,4.5,20.253,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
50215_B_102,8,1,1,0,10,-1,0,65400,16291,4.5,20.253,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
50215_B_103,8,1,1,0,10,-1,0,65400,16291,4.5,20.253,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
50279_B_MAIN,8,1,1,0,20,-1,0,65400,16291,4.5,14.429,Landfill Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
50366_B_BLR1,9,1,1,0,2.6,-1,0,65400,16291,4.5,8.3,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
50366_B_BLR2,9,1,1,0,2.6,-1,0,65400,16291,4.5,8.3,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2828_B_1,9,1,1,0,585,-1,0,65400,16291,4.5,9.899,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2828_B_2,9,1,1,0,585,-1,0,65400,16291,4.5,9.906,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2828_B_3,9,1,1,0,620,-1,0,65400,16291,4.5,10.103,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2876_B_1,9,1,1,0,194,-1,0,65400,16291,4.5,10.558,Subbituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2876_B_2,9,1,1,0,192,-1,0,65400,16291,4.5,10.547,Subbituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2876_B_3,9,1,1,0,192,-1,0,65400,16291,4.5,10.579,Subbituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2876_B_4,9,1,1,0,192,-1,0,65400,16291,4.5,10.472,Subbituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2876_B_5,9,1,1,0,192,-1,0,65400,16291,4.5,10.506,Subbituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2878_B_1,2,1,1,0,139,-1,0,65400,16291,4.5,12.574,Petroleum Coke,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_ATSI,1
2914_B_4,9,1,1,0,23.2,-1,0,65400,16291,4.5,14.5,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2935_B_10,9,1,1,0,6.7,-1,0,65400,16291,4.5,14.5,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2935_B_11,9,1,1,0,6.7,-1,0,65400,16291,4.5,14.5,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2935_B_12,9,1,1,0,30,-1,0,65400,16291,4.5,14.5,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2935_B_13,9,1,1,0,23,-1,0,65400,16291,4.5,14.5,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
2936_B_3,2,1,1,0,9.8,-1,0,65400,16291,4.5,14.5,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_ATSI,1
2936_B_4,2,1,1,0,18.6,-1,0,65400,16291,4.5,14.5,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_ATSI,1
2936_B_5,2,1,1,0,18.6,-1,0,65400,16291,4.5,14.5,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_ATSI,1
3118_B_1,6,1,1,0,850,-1,0,65400,16291,4.5,9.782,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3118_B_2,6,1,1,0,850,-1,0,65400,16291,4.5,9.704,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3130_B_1,6,1,1,0,260,-1,0,65400,16291,4.5,10.969,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3130_B_2,6,1,1,0,260,-1,0,65400,16291,4.5,10.969,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3131_B_1,6,1,1,0,122,-1,0,65400,16291,4.5,12.463,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3131_B_2,6,1,1,0,125,-1,0,65400,16291,4.5,12.463,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3131_B_3,6,1,1,0,174,-1,0,65400,16291,4.5,11.615,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3131_B_4,6,1,1,0,175,-1,0,65400,16291,4.5,11.615,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3136_B_1,6,1,1,0,850,-1,0,65400,16291,4.5,9.828,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3136_B_2,6,1,1,0,850,-1,0,65400,16291,4.5,9.794,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
3138_B_3,2,1,1,0,92,-1,0,65400,16291,4.5,11.532,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_ATSI,1
3138_B_4,2,1,1,0,93,-1,0,65400,16291,4.5,11.226,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_ATSI,1
3138_B_5,2,1,1,0,141,-1,0,65400,16291,4.5,11.405,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_ATSI,1
3140_B_1,8,1,1,0,306,-1,0,65400,16291,4.5,11.245,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
3140_B_2,8,1,1,0,363,-1,0,65400,16291,4.5,10.686,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
3140_B_3,8,1,1,0,742,-1,0,65400,16291,4.5,10.306,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
3148_B_3,8,1,1,0,850,-1,0,65400,16291,4.5,11.27,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
3148_B_4,8,1,1,0,850,-1,0,65400,16291,4.5,11.34,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
3149_B_1,8,1,1,0,752,-1,0,65400,16291,4.5,10.272,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
3149_B_2,8,1,1,0,752,-1,0,65400,16291,4.5,10.097,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
3775_B_1,9,1,1,0,230,-1,0,65400,16291,4.5,11.407,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
3775_B_2,9,1,1,0,230,-1,0,65400,16291,4.5,11.446,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
3935_B_1,9,1,1,0,800,-1,0,65400,16291,4.5,9.891,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
3935_B_2,9,1,1,0,800,-1,0,65400,16291,4.5,9.911,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
3935_B_3,9,1,1,0,1300,-1,0,65400,16291,4.5,10.019,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
3943_B_1,1,1,1,0,552,-1,0,65400,16291,4.5,10.223,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
3943_B_2,1,1,1,0,546,-1,0,65400,16291,4.5,10.24,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
3944_B_1,1,1,1,0,652,-1,0,65400,16291,4.5,10.184,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
3944_B_2,1,1,1,0,651,-1,0,65400,16291,4.5,10.116,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
3944_B_3,1,1,1,0,651,-1,0,65400,16291,4.5,10.12,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
3948_B_1,9,1,1,0,770,-1,0,65400,16291,4.5,10.248,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
3948_B_2,9,1,1,0,790,-1,0,65400,16291,4.5,9.996,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
3954_B_1,1,1,1,0,554,-1,0,65400,16291,4.5,10.094,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
3954_B_2,1,1,1,0,555,-1,0,65400,16291,4.5,10.069,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
3954_B_3,1,1,1,0,520,-1,0,65400,16291,4.5,10.433,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
50366_B_BLR3,9,1,1,0,2.6,-1,0,65400,16291,4.5,8.3,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
50366_B_BLR4,9,1,1,0,2.6,-1,0,65400,16291,4.5,8.3,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
50366_B_BLR5,9,1,1,0,2.6,-1,0,65400,16291,4.5,8.3,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
50366_B_BLR6,9,1,1,0,2.6,-1,0,65400,16291,4.5,8.3,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
