Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
PJM_AP_MD_SolarPV,1,1,0,0,130.2,0,0,85300,18760,0.1,0,0,0,0,PJM_AP,1
PJM_AP_PA_SolarPV,1,1,0,0,191,0,0,85300,18760,0.1,0,0,0,0,PJM_AP,1
PJM_AP_VA_SolarPV,1,1,0,0,188.2,0,0,85300,18760,0.1,0,0,0,0,PJM_AP,1
PJM_AP_WV_SolarPV,1,1,0,0,50,0,0,85300,18760,0.1,0,0,0,0,PJM_AP,1
PJM_ATSI_OH_SolarPV,2,1,0,0,1152.3,0,0,85300,18760,0.1,0,0,0,0,PJM_ATSI,1
PJM_ATSI_PA_SolarPV,2,1,0,0,61.3,0,0,85300,18760,0.1,0,0,0,0,PJM_ATSI,1
PJM_COMD_IL_SolarPV,3,1,0,0,919.1,0,0,85300,18760,0.1,0,0,0,0,PJM_COMD,1
PJM_Dom_NC_SolarPV,4,1,0,0,1320.5,0,0,85300,18760,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_VA_SolarPV,4,1,0,0,3494.8,0,0,85300,18760,0.1,0,0,0,0,PJM_Dom,1
PJM_EMAC_DE_SolarPV,5,1,0,0,251.7,0,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_MD_SolarPV,5,1,0,0,278.5,0,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_SolarPV,5,1,0,0,1057.9,0,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_PA_SolarPV,5,1,0,0,84.6,0,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_VA_SolarPV,5,1,0,0,104.3,0,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_PENE_PA_SolarPV,6,1,0,0,158.3,0,0,85300,18760,0.1,0,0,0,0,PJM_PENE,1
PJM_SMAC_DC_SolarPV,7,1,0,0,22.2,0,0,85300,18760,0.1,0,0,0,0,PJM_SMAC,1
PJM_SMAC_MD_SolarPV,7,1,0,0,165.9,0,0,85300,18760,0.1,0,0,0,0,PJM_SMAC,1
PJM_West_IN_SolarPV,9,1,0,0,719.6,0,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_KY_SolarPV,9,1,0,0,18.1,0,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_MI_SolarPV,9,1,0,0,19.6,0,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_OH_SolarPV,9,1,0,0,2683.5,0,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_VA_SolarPV,9,1,0,0,548,0,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_WMAC_PA_SolarPV,8,1,0,0,174,0,0,85300,18760,0.1,0,0,0,0,PJM_WMAC,1
PJM_AP_MD_OnshoreWind,1,1,0,0,190,0,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_PA_OnshoreWind,1,1,0,0,155.4,0,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_WV_OnshoreWind,1,1,0,0,856,0,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_ATSI_OH_OnshoreWind,2,1,0,0,19.7,0,0,97200,43205,0.1,0,0,0,0,PJM_ATSI,1
PJM_COMD_IL_OnshoreWind,3,1,0,0,4624.5,0,0,97200,43205,0.1,0,0,0,0,PJM_COMD,1
PJM_Dom_NC_OnshoreWind,4,1,0,0,208,0,0,97200,43205,0.1,0,0,0,0,PJM_Dom,1
PJM_EMAC_DE_OnshoreWind,5,1,0,0,2,0,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_OnshoreWind,5,1,0,0,7.6,0,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_PA_OnshoreWind,5,1,0,0,3.2,0,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_PENE_PA_OnshoreWind,6,1,0,0,1103.5,0,0,97200,43205,0.1,0,0,0,0,PJM_PENE,1
PJM_West_IN_OnshoreWind,9,1,0,0,1928.8,0,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_OH_OnshoreWind,9,1,0,0,1082.1,0,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_VA_OnshoreWind,9,1,0,0,72,0,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_WMAC_PA_OnshoreWind,8,1,0,0,285.5,0,0,97200,43205,0.1,0,0,0,0,PJM_WMAC,1
PJM_ATSI_OH_OffshoreWind,2,1,0,0,20.4,0,0,291600,129615,0.1,0,0,0,0,PJM_ATSI,1
PJM_Dom_VA_OffshoreWind,4,1,0,0,1277,0,0,291600,129615,0.1,0,0,0,0,PJM_Dom,1
PJM_EMAC_MD_OffshoreWind,5,1,0,0,966,0,0,291600,129615,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_OffshoreWind,5,1,0,0,2248,0,0,291600,129615,0.1,0,0,0,0,PJM_EMAC,1
PJM_AP_MD_PVClass 8_2,1,1,0,0,0,32794.45658,0,85300,18760,0.1,0,0,0,0,PJM_AP,1
PJM_AP_PA_PVClass 8_2,1,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_AP,1
PJM_AP_VA_PVClass 8_2,1,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_AP,1
PJM_AP_WV_PVClass 8_2,1,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_AP,1
