Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
50000,1,1,1,2000,1,8760,8760,1,7747.922721,9076.985952,12161.44707,17009.47973,19501.48144,2440.480902,10486.78834,8578.916914,31148.72086
,2,0.9,0.04,1800,,,,2,7839.86794,9163.132878,11951.36308,17259.88958,19650.01817,2454.507294,10671.09936,8772.853297,31629.06188
,3,0.55,0.024,1100,,,,3,8077.130791,9456.815489,11917.39773,17670.6852,20290.60117,2568.182481,11075.36984,9071.749855,32639.69976
,4,0.2,0.003,400,,,,4,8339.382173,9898.323525,12044.43294,18082.18993,21259.76291,2714.478368,11630.47088,9613.696664,34087.0432
,,,,,,,,5,8569.201384,10320.13307,12526.5156,18317.77231,22008.85545,2774.606981,11980.80221,9984.230137,35231.94333
,,,,,,,,6,8588.645604,10423.39926,13309.45388,18169.71065,22232.66037,2813.931293,11935.0247,10051.47212,35372.02143
,,,,,,,,7,8504.103209,10506.81258,13707.03491,17708.61848,22193.22251,2821.041124,11612.2188,9995.56971,35214.64725
,,,,,,,,8,8403.770884,10478.11363,13805.5353,17304.83131,22078.35545,2830.743249,11311.70371,9892.751374,34811.92849
,,,,,,,,9,8315.168412,10468.593,13812.86692,16986.26364,21993.09868,2845.945786,11057.65607,9765.075168,34113.62143
,,,,,,,,10,8230.809308,10348.54673,13837.44787,16689.2001,21862.55049,2819.944012,10857.78837,9640.537134,33434.49741
,,,,,,,,11,8134.853733,10260.71035,13751.10097,16460.45528,21752.3635,2817.526967,10744.22862,9556.414208,32896.02742
,,,,,,,,12,8079.702147,10277.73062,13635.00213,16335.67917,21814.45695,2773.915742,10721.15418,9468.296308,32410.44978
,,,,,,,,13,8143.438181,10316.00317,13599.83351,16522.54432,22298.56329,2747.93746,11015.53299,9538.355643,32180.14839
,,,,,,,,14,8397.838939,10397.21078,13558.46079,17125.45767,23529.99235,2794.999195,11678.23118,9872.199118,32625.67685
,,,,,,,,15,8745.591004,10765.28073,13636.53254,18077.87875,25305.33803,2877.458554,12587.04841,10385.64643,34077.20456
,,,,,,,,16,8790.717902,11016.28102,14210.55363,18372.90679,25702.80169,2877.330061,12818.39092,10398.74245,34882.29143
,,,,,,,,17,8826.333458,10983.84794,14952.0786,18468.55143,25725.30624,2826.01495,12836.08647,10343.5016,34957.1836
,,,,,,,,18,8761.312467,10782.35824,15070.36493,18419.1658,25522.43164,2819.710778,12728.15805,10192.27778,34842.3357
,,,,,,,,19,8572.605242,10547.09663,14961.97912,18282.35791,24839.06453,2764.519485,12446.63656,9950.431876,34406.29827
,,,,,,,,20,8369.302093,10162.97399,14752.36164,17983.32846,23801.88644,2681.460785,11937.03161,9566.131079,33775.53206
,,,,,,,,21,8084.111454,9705.842827,14365.99831,17725.79422,22556.3103,2556.807271,11459.02427,9168.474328,32899.08196
,,,,,,,,22,7881.953657,9422.583169,13531.51218,17565.82481,21402.77214,2511.612517,11050.04106,8916.651713,32252.7401
,,,,,,,,23,7823.592498,9181.54146,12930.1898,17525.15745,20804.95484,2461.886033,10855.64776,8767.933284,32112.94227
