Line,From,To,TTC_Capacity_2028
MIS_IL-PJM_COMD,MIS_IL,PJM_COMD,3200
MIS_INKY-PJM_COMD,MIS_INKY,PJM_COMD,2718
MIS_INKY-PJM_West,MIS_INKY,PJM_West,5441
MIS_LMI-PJM_ATSI,MIS_LMI,PJM_ATSI,1262
MIS_LMI-PJM_West,MIS_LMI,PJM_West,1600
MIS_MIDA-PJM_COMD,MIS_MIDA,PJM_COMD,2000
MIS_WUMS-PJM_COMD,MIS_WUMS,PJM_COMD,1200
NY_Z_A-PJM_PENE,NY_Z_A,PJM_PENE,550
NY_Z_C&E-PJM_PENE,NY_Z_C&E,PJM_PENE,500
NY_Z_G-I-PJM_EMAC,NY_Z_G-I,PJM_EMAC,1000
NY_Z_J-PJM_EMAC,NY_Z_J,PJM_EMAC,660
NY_Z_K-PJM_EMAC,NY_Z_K,PJM_EMAC,660
S_C_KY-PJM_West,S_C_KY,PJM_West,1214
S_C_TVA-PJM_West,S_C_TVA,PJM_West,2119
S_VACA-PJM_Dom,S_VACA,PJM_Dom,1000
S_VACA-PJM_West,S_VACA,PJM_West,1219
