Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit
Crossroads Solar (PA),63785_G_CROSS,63785,G,CROSS,,Solar PV,,PJM_AP,Pennsylvania,42,Franklin,55,42055,0.0,0,2024,2024,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
IL - SMHEC - Moraine Valley,64181_G_18017,64181,G,18017,,Solar PV,,PJM_COMD,Illinois,17,Cook,31,17031,0.0,0,2023,2023,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
American Beech Solar LLC,64430_G_KOV4A,64430,G,KOV4A,,Solar PV,,PJM_Dom,North Carolina,37,Halifax,83,37083,0.0,0,2024,2024,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
Wythe County Solar,64448_G_GEN1,64448,G,GEN1,,Solar PV,,PJM_West,Virginia,51,Wythe,197,51197,0.0,0,2024,2024,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
Cottontail Solar 3,65078_G_PACT3,65078,G,PACT3,,Solar PV,,PJM_WMAC,Pennsylvania,42,Montour,93,42093,0.0,0,2024,2024,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
Klees Mill CSG,65356_G_KLEES,65356,G,KLEES,,Solar PV,,PJM_SMAC,Maryland,24,Carroll,13,24013,0.0,0,2023,2023,,,N,Solar,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,
Birch Solar,66054_G_OHBI1,66054,G,OHBI1,,Solar PV,,PJM_West,Ohio,39,Allen,3,39003,0.0,0,2024,2024,,,N,Solar,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,
Homer City Generating Station,3122_B_1,3122,B,1,2072.0,Coal Steam,,PJM_PENE,Pennsylvania,42,Indiana,63,42063,626.0,10439,1969,2023,wall,dry,N,Bituminous,Dry Scrubber,2016.0,0.94,LNBO,SCR,2001.0,,ESPC + B,Yes,ACI,2016.0,,3.7,0.11779,0.11779,0.11779,0.11779,0.1,0.1,0.1,0.99,,,,,,,
Homer City Generating Station,3122_B_2,3122,B,2,2073.0,Coal Steam,,PJM_PENE,Pennsylvania,42,Indiana,63,42063,613.0,10362,1969,2023,wall,dry,N,Bituminous,Dry Scrubber,2016.0,0.94,LNBO,SCR,2000.0,,ESPC + B,Yes,ACI,2016.0,,3.7,0.19592,0.1074,0.19592,0.1074,0.1,0.1,0.1,0.99,,,,,,,
Homer City Generating Station,3122_B_3,3122,B,3,2074.0,Coal Steam,,PJM_PENE,Pennsylvania,42,Indiana,63,42063,649.0,10385,1977,2023,wall,dry,N,Bituminous,Wet Scrubber,2001.0,0.95,LNBO,SCR,2001.0,,ESPC,Yes,,,,1.2,0.36521,0.09194,0.36521,0.09194,0.05,0.1,0.56,0.99,,,,,,,
