Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
0,1,1,1,7747.92272077651,9076.98595161303,12161.4470689054,17009.4797343117,19501.4814425477,2440.48090195883,10486.7883396625,8578.91691378471,31148.7208554378
1,1,1,2,7839.86793996494,9163.13287815614,11951.3630779994,17259.8895836149,19650.018173449,2454.50729376139,10671.0993583441,8772.85329663635,31629.0618763062
2,1,1,3,8077.13079107497,9456.81548853564,11917.3977349905,17670.6851980802,20290.6011684952,2568.1824814575,11075.3698356526,9071.74985525286,32639.6997621217
3,1,1,4,8339.382172634,9898.32352468595,12044.432940249,18082.1899341166,21259.76291151,2714.47836784326,11630.4708847145,9613.69666377062,34087.0432023949
4,1,1,5,8569.20138369034,10320.133070756,12526.5156006231,18317.7723122947,22008.8554537565,2774.60698073607,11980.8022111961,9984.23013661179,35231.9433280508
5,1,1,6,8588.64560364411,10423.3992550791,13309.453878016,18169.7106485842,22232.6603707605,2813.93129258932,11935.024696464,10051.4721249313,35372.0214256547
6,1,1,7,8504.1032089951,10506.8125772062,13707.0349146656,17708.6184769505,22193.2225108194,2821.04112417617,11612.2188044164,9995.5697096837,35214.6472514958
7,1,1,8,8403.77088415064,10478.11362957,13805.5352983887,17304.8313126689,22078.3554467999,2830.74324906856,11311.7037084627,9892.75137354221,34811.9284876098
8,1,1,9,8315.16841173956,10468.5930023049,13812.8669244112,16986.2636420305,21993.0986830711,2845.94578618915,11057.6560653706,9765.07516773641,34113.6214299753
9,1,1,10,8230.8093084033,10348.5467349299,13837.447865152,16689.2001027048,21862.5504900472,2819.94401182136,10857.7883690093,9640.53713372741,33434.4974113564
10,1,1,11,8134.85373338376,10260.7103548538,13751.100968821,16460.4552821508,21752.3634956151,2817.52696668822,10744.2286229602,9556.4142084193,32896.0274201308
11,1,1,12,8079.70214717143,10277.7306173665,13635.0021292149,16335.679171132,21814.4569488893,2773.91574235323,10721.1541750796,9468.29630773277,32410.4497760486
12,1,1,13,8143.43818069113,10316.0031733014,13599.8335053664,16522.5443239029,22298.5632857388,2747.93745957902,11015.5329921846,9538.35564300159,32180.1483938223
13,1,1,14,8397.83893949189,10397.2107763612,13558.460791036,17125.4576747986,23529.9923517084,2794.99919465392,11678.2311751437,9872.19911802493,32625.6768454013
14,1,1,15,8745.59100380927,10765.2807332631,13636.5325352694,18077.8787526495,25305.3380301779,2877.45855371171,12587.0484129243,10385.6464316138,34077.2045577477
15,1,1,16,8790.71790176426,11016.2810207435,14210.5536260035,18372.9067909534,25702.8016940136,2877.33006088301,12818.3909212758,10398.7424457127,34882.2914326602
16,1,1,17,8826.33345765554,10983.8479410425,14952.0785975684,18468.5514309732,25725.3062412651,2826.01495004771,12836.0864688179,10343.5015989384,34957.1836016281
17,1,1,18,8761.31246702149,10782.3582446676,15070.3649304783,18419.1657950369,25522.4316354508,2819.71077753682,12728.1580502173,10192.2777846174,34842.3356995563
18,1,1,19,8572.60524164819,10547.0966307242,14961.9791211408,18282.3579089507,24839.0645270843,2764.51948456258,12446.636558437,9950.43187622098,34406.2982711683
19,1,1,20,8369.3020928015,10162.9739943661,14752.3616351275,17983.3284622386,23801.8864440586,2681.46078487756,11937.031613246,9566.1310786745,33775.5320625255
20,1,1,21,8084.1114540536,9705.84282672516,14365.9983066556,17725.794217946,22556.3102998793,2556.80727108679,11459.0242725573,9168.47432837125,32899.0819640547
21,1,1,22,7881.95365675117,9422.58316879642,13531.5121768797,17565.824814629,21402.7721416617,2511.61251715081,11050.041055607,8916.65171252915,32252.7401014641
22,1,1,23,7823.59249818616,9181.54146034829,12930.1898016947,17525.1574527583,20804.9548357019,2461.88603269543,10855.64775972,8767.93328430136,32112.9422693926
23,1,1,24,7817.1375143974,9057.97706054985,12467.7943499194,17525.1117350232,20402.264446403,2449.20109761041,10727.2527515624,8712.07639461975,32031.2812024849
24,1,2,1,7773.27572145537,9021.63530297722,12159.2342323935,17578.3322914237,20134.4599506052,2420.76053753665,10700.6723277139,8696.53541362097,32214.5623145804
25,1,2,2,7848.65212897478,8953.98920778929,11941.3003142563,17765.4640063398,20048.0640147478,2428.78952637117,10799.75481987,8771.26419764645,32471.5150187928
