Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name
"Manassas city, VA",25.0,30.0,50.0,80.0,105.0,PJM_Dom
"St. Joseph County, IN",401.0,6.55,790.6,797.15,1198.15,PJM_West
"Greensville County, VA",120.0,0.0,0.0,0.0,120.0,PJM_Dom
"Montgomery County, OH",5.0,6.7,0.0,6.7,11.7,PJM_West
"Franklin County, OH",483.0,1069.4,188.0,1257.4,1740.4,PJM_West
"Hamilton County, OH",0.0,29.61,0.3,29.91,29.91,PJM_West
"Caroline County, VA",1120.0,0.0,70.0,70.0,1190.0,PJM_Dom
"Fairfax County, VA",272.7,338.4,334.0,672.4,945.1,PJM_Dom
"Spotsylvania County, VA",1538.0,0.0,388.0,388.0,1926.0,PJM_Dom
"Stafford County, VA",1150.0,0.0,42.0,42.0,1192.0,PJM_Dom
"Union County, NJ",0.0,0.0,40.0,40.0,40.0,PJM_EMAC
"Allegheny County, PA",0.0,32.4,15.0,47.4,47.4,PJM_AP
"Westmoreland County, PA",180.0,20.0,0.0,20.0,200.0,PJM_PENE
"Burlington County, NJ",0.0,4.0,0.0,4.0,4.0,PJM_EMAC
"Armstrong County, PA",70.0,1.5,30.0,31.5,101.5,PJM_PENE
"Fauquier County, VA",1050.0,12.0,0.0,12.0,1062.0,PJM_Dom
"Covington city, VA",0.0,0.5,0.0,0.5,0.5,PJM_Dom
"Essex County, NJ",0.0,87.71,0.0,87.71,87.71,PJM_EMAC
"McLean County, IL",0.0,1.0,0.0,1.0,1.0,PJM_COMD
"Culpeper County, VA",2258.0,67.5,240.0,307.5,2565.5,PJM_Dom
"Hanover County, VA",2415.0,1.0,0.0,1.0,2416.0,PJM_Dom
"Washington County, OH",0.0,0.0,40.0,40.0,40.0,PJM_West
"Frederick County, VA",0.0,6.9,0.0,6.9,6.9,PJM_AP
"Wise County, VA",35.0,10.0,0.0,10.0,45.0,PJM_West
"Powhatan County, VA",200.0,0.0,100.0,100.0,300.0,PJM_Dom
"Chesterfield County, VA",610.0,44.8,50.0,94.8,704.8,PJM_Dom
"Summit County, OH",0.0,3.5,0.0,3.5,3.5,PJM_ATSI
"Butler County, OH",0.0,8.54,0.0,8.54,8.54,PJM_West
"Cuyahoga County, OH",0.0,21.9,0.0,21.9,21.9,PJM_ATSI
"Frederick County, MD",1749.0,0.0,231.0,231.0,1980.0,PJM_AP
"Morris County, NJ",0.0,13.0,0.0,13.0,13.0,PJM_EMAC
"Philadelphia County, PA",36.0,36.94,0.0,36.94,72.94,PJM_EMAC
"Bergen County, NJ",0.0,18.0,0.0,18.0,18.0,PJM_EMAC
"Harrisonburg city, VA",0.0,18.0,0.0,18.0,18.0,PJM_Dom
"Hudson County, NJ",10.0,122.5,19.4,141.9,151.9,PJM_EMAC
"Surry County, VA",280.0,0.0,20.0,20.0,300.0,PJM_Dom
"Kane County, IL",0.0,0.0,20.0,20.0,20.0,PJM_COMD
"Lucas County, OH",0.0,1.3,0.0,1.3,1.3,PJM_ATSI
"Bucks County, PA",200.0,0.0,80.0,80.0,280.0,PJM_EMAC
"Virginia Beach city, VA",130.0,8.0,0.0,8.0,138.0,PJM_Dom
"Somerset County, NJ",10.0,62.0,0.0,62.0,72.0,PJM_EMAC
"Putnam County, IL",82.0,0.0,0.0,0.0,82.0,PJM_COMD
"Louisa County, VA",750.0,0.0,70.0,70.0,820.0,PJM_Dom
"Mahoning County, OH",0.0,0.45,0.0,0.45,0.45,PJM_ATSI
"Indiana County, PA",4500.0,0.0,0.0,0.0,4500.0,PJM_PENE
"Cass County, MI",0.0,28.0,272.0,300.0,300.0,PJM_West
"Lackawanna County, PA",780.0,0.0,0.0,0.0,780.0,PJM_WMAC
"Cook County, IL",2001.8,917.13,561.0,1478.13,3479.93,PJM_COMD
"Passaic County, NJ",0.0,25.05,0.0,25.05,25.05,PJM_EMAC
"Oldham County, KY",600.0,0.0,0.0,0.0,600.0,PJM_West
"Monroe County, OH",695.0,0.0,0.0,0.0,695.0,PJM_West
"Tazewell County, IL",1000.0,0.0,0.0,0.0,1000.0,PJM_COMD
"Monmouth County, NJ",0.0,10.6,0.0,10.6,10.6,PJM_EMAC
"Pittsylvania County, VA",800.0,0.0,0.0,0.0,800.0,PJM_Dom
"Montgomery County, PA",0.0,25.2,0.0,25.2,25.2,PJM_EMAC
"Berks County, PA",0.0,7.0,0.0,7.0,7.0,PJM_WMAC
"Covington city, VA",0.0,0.5,0.0,0.5,0.5,PJM_Dom
"Baltimore city, MD",0.0,59.5,0.0,59.5,59.5,PJM_SMAC
"King George County, VA",900.0,0.0,0.0,0.0,900.0,PJM_Dom
"Luzerne County, PA",940.0,98.0,122.0,220.0,1160.0,PJM_WMAC
"Licking County, OH",1601.0,601.0,413.0,1014.0,2615.0,PJM_West
"DeKalb County, IL",360.0,260.0,60.0,320.0,680.0,PJM_COMD
"Middlesex County, NJ",32.0,183.93,12.0,195.93,227.93,PJM_EMAC
"Chesterfield County, VA",610.0,44.8,50.0,94.8,704.8,PJM_Dom
"Prince William County, VA",5159.0,1675.4,1070.0,2745.4,7904.4,PJM_Dom
"Delaware County, OH",67.5,10.5,0.0,10.5,78.0,PJM_West
"Wise County, VA",35.0,10.0,0.0,10.0,45.0,PJM_West
"Beaver County, PA",0.0,120.0,0.0,120.0,120.0,PJM_ATSI
"Carbon County, PA",0.0,80.0,0.0,80.0,80.0,PJM_WMAC
"Berrien County, MI",300.0,0.0,0.0,0.0,300.0,PJM_West
"Fairfield County, OH",800.0,75.0,0.0,75.0,875.0,PJM_West
"Clark County, OH",70.0,2.0,100.0,102.0,172.0,PJM_ATSI
"Kendall County, IL",3103.0,0.0,40.0,40.0,3143.0,PJM_COMD
"Allen County, IN",300.0,0.0,0.0,0.0,300.0,PJM_West
"Union County, OH",140.0,250.0,80.0,330.0,470.0,PJM_ATSI
