year,datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,zone,nspl_mw
2026,7/24/2025 9:00:00 PM,7/24/2025 5:00:00 PM,7/24/2025 10:00:00 PM,7/24/2025 6:00:00 PM,DAY,3396.30000
2026,7/24/2025 9:00:00 PM,7/24/2025 5:00:00 PM,7/24/2025 10:00:00 PM,7/24/2025 6:00:00 PM,DEOK,5189.90000
2026,6/24/2025 10:00:00 PM,6/24/2025 6:00:00 PM,6/24/2025 11:00:00 PM,6/24/2025 7:00:00 PM,AECO,2709.10000
2026,6/24/2025 10:00:00 PM,6/24/2025 6:00:00 PM,6/24/2025 11:00:00 PM,6/24/2025 7:00:00 PM,METED,2999.90000
2026,6/24/2025 10:00:00 PM,6/24/2025 6:00:00 PM,6/24/2025 11:00:00 PM,6/24/2025 7:00:00 PM,PSEG,10229.50000
2026,6/24/2025 9:00:00 PM,6/24/2025 5:00:00 PM,6/24/2025 10:00:00 PM,6/24/2025 6:00:00 PM,DPL,4198.40000
2026,6/24/2025 9:00:00 PM,6/24/2025 5:00:00 PM,6/24/2025 10:00:00 PM,6/24/2025 6:00:00 PM,JCPL,6273.40000
2026,6/24/2025 9:00:00 PM,6/24/2025 5:00:00 PM,6/24/2025 10:00:00 PM,6/24/2025 6:00:00 PM,PECO,8379.50000
2026,6/24/2025 9:00:00 PM,6/24/2025 5:00:00 PM,6/24/2025 10:00:00 PM,6/24/2025 6:00:00 PM,PEPCO,6015.50000
2026,6/24/2025 8:00:00 PM,6/24/2025 4:00:00 PM,6/24/2025 9:00:00 PM,6/24/2025 5:00:00 PM,RECO,422.90000
2026,6/24/2025 7:00:00 PM,6/24/2025 3:00:00 PM,6/24/2025 8:00:00 PM,6/24/2025 4:00:00 PM,ATSI,12658.70000
2026,6/23/2025 10:00:00 PM,6/23/2025 6:00:00 PM,6/23/2025 11:00:00 PM,6/23/2025 7:00:00 PM,BGE,6584.90000
2026,6/23/2025 9:00:00 PM,6/23/2025 5:00:00 PM,6/23/2025 10:00:00 PM,6/23/2025 6:00:00 PM,COMED,20713.70000
2026,6/23/2025 9:00:00 PM,6/23/2025 5:00:00 PM,6/23/2025 10:00:00 PM,6/23/2025 6:00:00 PM,DUQ,2694.50000
2026,3/7/2025 7:00:00 PM,3/7/2025 2:00:00 PM,3/7/2025 8:00:00 PM,3/7/2025 3:00:00 PM,OVEC,118.00000
2026,1/23/2025 12:00:00 PM,1/23/2025 7:00:00 AM,1/23/2025 1:00:00 PM,1/23/2025 8:00:00 AM,DOM,24678.10000
2026,1/22/2025 1:00:00 PM,1/22/2025 8:00:00 AM,1/22/2025 2:00:00 PM,1/22/2025 9:00:00 AM,PENELEC,2908.60000
2026,1/22/2025 1:00:00 PM,1/22/2025 8:00:00 AM,1/22/2025 2:00:00 PM,1/22/2025 9:00:00 AM,PPL,8057.00000
2026,1/22/2025 12:00:00 PM,1/22/2025 7:00:00 AM,1/22/2025 1:00:00 PM,1/22/2025 8:00:00 AM,AEP,23710.20000
2026,1/22/2025 12:00:00 PM,1/22/2025 7:00:00 AM,1/22/2025 1:00:00 PM,1/22/2025 8:00:00 AM,APS,9791.60000
2026,1/22/2025 12:00:00 PM,1/22/2025 7:00:00 AM,1/22/2025 1:00:00 PM,1/22/2025 8:00:00 AM,EKPC,3757.20000
