ZONE,FUEL_TYPE,PMAX,COST,FUEL_COST_NAME,GEN_ID,PLANT_NAME,BUS,PG,PMIN
"0    ERC_PHDL
Name: IPM_Region, dtype: object",SUN,4.5,0.0,None,GEN_1,"SUN_0    ERC_PHDL
Name: IPM_Region, dtype: object",0,0,0
"0    ERC_PHDL
Name: IPM_Region, dtype: object",WAT,65.5,0.0,None,GEN_2,"WAT_0    ERC_PHDL
Name: IPM_Region, dtype: object",0,0,0
"0    ERC_PHDL
Name: IPM_Region, dtype: object",WND,12.0,0.0,None,GEN_3,"WND_0    ERC_PHDL
Name: IPM_Region, dtype: object",0,0,0
MIS_AR,SUN,237.2,0.0,None,GEN_4,SUN_MIS_AR,0,0,0
MIS_IA,SUN,10.6,0.0,None,GEN_5,SUN_MIS_IA,0,0,0
MIS_IL,BIT,2433.6,2.14,Bituminous,GEN_6,BIT_MIS_IL,0,0,0
MIS_IL,DFO,298.9,21.5,Distillate Fuel Oil,GEN_7,DFO_MIS_IL,0,0,0
MIS_IL,LFG,6.4,1.5,Landfill Gas,GEN_8,LFG_MIS_IL,0,0,0
MIS_IL,MWH,196.3,0.0,None,GEN_9,MWH_MIS_IL,0,0,0
MIS_IL,NG,6447.6,2.55,Natural Gas,GEN_10,NG_MIS_IL,0,0,0
MIS_IL,NUC,1138.3,0.7,Nuclear Fuel,GEN_11,NUC_MIS_IL,0,0,0
MIS_IL,PUR,78.0,0.0,None,GEN_12,PUR_MIS_IL,0,0,0
MIS_IL,SUN,6447.2,0.0,None,GEN_13,SUN_MIS_IL,0,0,0
MIS_IL,WND,4700.0,0.0,None,GEN_14,WND_MIS_IL,0,0,0
MIS_INKY,BFG,286.2,0.0,Fossil Waste,GEN_15,BFG_MIS_INKY,0,0,0
MIS_INKY,BIT,9724.5,2.14,Bituminous,GEN_16,BIT_MIS_INKY,0,0,0
MIS_INKY,BLQ,88.0,7.39,Biomass,GEN_17,BLQ_MIS_INKY,0,0,0
MIS_INKY,DFO,91.2,21.5,Distillate Fuel Oil,GEN_18,DFO_MIS_INKY,0,0,0
MIS_INKY,LFG,31.6,1.5,Landfill Gas,GEN_19,LFG_MIS_INKY,0,0,0
MIS_INKY,MSW,6.5,0.0,MSW,GEN_20,MSW_MIS_INKY,0,0,0
MIS_INKY,MWH,508.3,0.0,None,GEN_21,MWH_MIS_INKY,0,0,0
MIS_INKY,NG,8857.5,2.55,Natural Gas,GEN_22,NG_MIS_INKY,0,0,0
MIS_INKY,OBG,10.3,7.39,Biomass,GEN_23,OBG_MIS_INKY,0,0,0
MIS_INKY,OG,97.0,2.55,Natural Gas,GEN_24,OG_MIS_INKY,0,0,0
MIS_INKY,SGC,812.7,0.0,Fossil Waste,GEN_25,SGC_MIS_INKY,0,0,0
MIS_INKY,SUN,8891.2,0.0,None,GEN_26,SUN_MIS_INKY,0,0,0
MIS_INKY,WAT,482.6,0.0,None,GEN_27,WAT_MIS_INKY,0,0,0
MIS_INKY,WH,94.6,0.0,None,GEN_28,WH_MIS_INKY,0,0,0
MIS_INKY,WND,3371.3,0.0,None,GEN_29,WND_MIS_INKY,0,0,0
MIS_LMI,BFG,238.0,0.0,Fossil Waste,GEN_30,BFG_MIS_LMI,0,0,0
MIS_LMI,BIT,72.5,2.14,Bituminous,GEN_31,BIT_MIS_LMI,0,0,0
MIS_LMI,DFO,360.6,21.5,Distillate Fuel Oil,GEN_32,DFO_MIS_LMI,0,0,0
MIS_LMI,LFG,132.8,1.5,Landfill Gas,GEN_33,LFG_MIS_LMI,0,0,0
MIS_LMI,MSW,18.0,0.0,MSW,GEN_34,MSW_MIS_LMI,0,0,0
MIS_LMI,MWH,440.3,0.0,None,GEN_35,MWH_MIS_LMI,0,0,0
MIS_LMI,NG,14208.7,2.55,Natural Gas,GEN_36,NG_MIS_LMI,0,0,0
MIS_LMI,NUC,2028.8,0.7,Nuclear Fuel,GEN_37,NUC_MIS_LMI,0,0,0
MIS_LMI,OBG,9.0,7.39,Biomass,GEN_38,OBG_MIS_LMI,0,0,0
MIS_LMI,PC,47.2,1.8,Petroleum Coke,GEN_39,PC_MIS_LMI,0,0,0
MIS_LMI,SUB,1639.8000000000002,2.14,Subbituminous,GEN_40,SUB_MIS_LMI,0,0,0
MIS_LMI,SUN,4494.3,0.0,None,GEN_41,SUN_MIS_LMI,0,0,0
MIS_LMI,WAT,2126.8,0.0,None,GEN_42,WAT_MIS_LMI,0,0,0
MIS_LMI,WDS,162.1,7.39,Biomass,GEN_43,WDS_MIS_LMI,0,0,0
MIS_LMI,WND,3876.5,0.0,None,GEN_44,WND_MIS_LMI,0,0,0
MIS_MIDA,SUN,5.0,0.0,None,GEN_45,SUN_MIS_MIDA,0,0,0
MIS_MNWI,WAT,1.4,0.0,None,GEN_46,WAT_MIS_MNWI,0,0,0
MIS_MO,NG,8.0,2.55,Natural Gas,GEN_47,NG_MIS_MO,0,0,0
MIS_MO,SUN,142.5,0.0,None,GEN_48,SUN_MIS_MO,0,0,0
MIS_MO,WND,54.4,0.0,None,GEN_49,WND_MIS_MO,0,0,0
MIS_WUMS,BIT,6.2,2.14,Bituminous,GEN_50,BIT_MIS_WUMS,0,0,0
MIS_WUMS,BLQ,150.4,7.39,Biomass,GEN_51,BLQ_MIS_WUMS,0,0,0
MIS_WUMS,DFO,68.4,21.5,Distillate Fuel Oil,GEN_52,DFO_MIS_WUMS,0,0,0
MIS_WUMS,NG,239.3,2.55,Natural Gas,GEN_53,NG_MIS_WUMS,0,0,0
