PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST
J K Smith,PJM_West,NG,0,149.0,0,0
J K Smith,PJM_West,NG,0,98.0,0,0
J K Smith,PJM_West,NG,0,149.0,0,0
J K Smith,PJM_West,NG,0,149.0,0,0
J K Smith,PJM_West,NG,0,108.0,0,0
J K Smith,PJM_West,NG,0,108.0,0,0
J K Smith,PJM_West,NG,0,98.0,0,0
J K Smith,PJM_West,NG,0,98.0,0,0
J K Smith,PJM_West,NG,0,98.0,0,0
Clinton Power Station,MIS_IL,NUC,0,1138.3,0,0
Christiana,PJM_EMAC,DFO,0,27.5,0,0
Christiana,PJM_EMAC,DFO,0,27.5,0,0
Delaware City 10,PJM_EMAC,DFO,0,18.5,0,0
Edge Moor,PJM_EMAC,DFO,0,12.5,0,0
Edge Moor,PJM_EMAC,NG,0,75.0,0,0
Edge Moor,PJM_EMAC,NG,0,176.8,0,0
Edge Moor,PJM_EMAC,NG,0,446.0,0,0
West Station (DE),PJM_EMAC,DFO,0,16.2,0,0
Dresden Generating Station,PJM_COMD,NUC,0,1009.3,0,0
Dresden Generating Station,PJM_COMD,NUC,0,1009.3,0,0
Powerton,PJM_COMD,SUB,0,892.8,0,0
Powerton,PJM_COMD,SUB,0,892.8,0,0
Quad Cities Generating Station,PJM_COMD,NUC,0,1009.3,0,0
Quad Cities Generating Station,PJM_COMD,NUC,0,1009.3,0,0
Waukegan,PJM_COMD,DFO,0,28.0,0,0
Waukegan,PJM_COMD,DFO,0,28.0,0,0
Waukegan,PJM_COMD,DFO,0,28.0,0,0
Waukegan,PJM_COMD,DFO,0,28.0,0,0
Fisk Street,PJM_COMD,DFO,0,32.5,0,0
Fisk Street,PJM_COMD,DFO,0,32.5,0,0
Fisk Street,PJM_COMD,DFO,0,32.5,0,0
Fisk Street,PJM_COMD,DFO,0,32.5,0,0
Fisk Street,PJM_COMD,DFO,0,32.5,0,0
Fisk Street,PJM_COMD,DFO,0,32.5,0,0
Fisk Street,PJM_COMD,DFO,0,32.5,0,0
Fisk Street,PJM_COMD,DFO,0,32.5,0,0
Moline,PJM_COMD,NG,0,18.0,0,0
Moline,PJM_COMD,NG,0,18.0,0,0
Moline,PJM_COMD,NG,0,18.0,0,0
Moline,PJM_COMD,NG,0,18.0,0,0
Moline,PJM_COMD,WAT,0,0.9,0,0
Moline,PJM_COMD,WAT,0,0.9,0,0
Moline,PJM_COMD,WAT,0,0.9,0,0
Moline,PJM_COMD,WAT,0,0.9,0,0
Rockton,PJM_COMD,WAT,0,0.6,0,0
Rockton,PJM_COMD,WAT,0,0.5,0,0
Venice,MIS_IL,NG,0,61.0,0,0
Venice,MIS_IL,NG,0,200.0,0,0
Venice,MIS_IL,NG,0,200.0,0,0
Venice,MIS_IL,NG,0,125.0,0,0
Breese,MIS_IL,DFO,0,3.0,0,0
Breese,MIS_IL,DFO,0,2.5,0,0
Breese,MIS_IL,DFO,0,2.5,0,0
Breese,MIS_IL,DFO,0,2.5,0,0
Breese,MIS_IL,DFO,0,2.5,0,0
Breese,MIS_IL,DFO,0,0.9,0,0
Breese,MIS_IL,DFO,0,3.0,0,0
Bushnell,MIS_IL,DFO,0,0.2,0,0
Bushnell,MIS_IL,DFO,0,0.2,0,0
Bushnell,MIS_IL,DFO,0,2.2,0,0
Bushnell,MIS_IL,DFO,0,2.2,0,0
Bushnell,MIS_IL,DFO,0,1.0,0,0
Bushnell,MIS_IL,DFO,0,2.5,0,0
Bushnell,MIS_IL,DFO,0,2.5,0,0
Carlyle,MIS_IL,DFO,0,2.5,0,0
Carlyle,MIS_IL,DFO,0,2.8,0,0
Carlyle,MIS_IL,DFO,0,2.0,0,0
Carlyle,MIS_IL,DFO,0,2.5,0,0
Carlyle,MIS_IL,DFO,0,2.5,0,0
Carmi,MIS_IL,DFO,0,1.7,0,0
Carmi,MIS_IL,DFO,0,2.0,0,0
Carmi,MIS_IL,DFO,0,4.4,0,0
Carmi,MIS_IL,DFO,0,1.1,0,0
Carmi,MIS_IL,DFO,0,1.1,0,0
Carmi,MIS_IL,DFO,0,1.4,0,0
Carmi,MIS_IL,DFO,0,1.7,0,0
Farmer City,MIS_IL,NG,0,1.5,0,0
Farmer City,MIS_IL,DFO,0,1.1,0,0
Farmer City,MIS_IL,DFO,0,0.8,0,0
Farmer City,MIS_IL,NG,0,3.5,0,0
Farmer City,MIS_IL,DFO,0,2.2,0,0
Farmer City,MIS_IL,DFO,0,2.2,0,0
Freeburg,MIS_IL,DFO,0,0.4,0,0
Freeburg,MIS_IL,DFO,0,1.8,0,0
Freeburg,MIS_IL,DFO,0,1.8,0,0
Freeburg,MIS_IL,DFO,0,1.8,0,0
Freeburg,MIS_IL,DFO,0,0.4,0,0
Freeburg,MIS_IL,DFO,0,0.6,0,0
Freeburg,MIS_IL,DFO,0,1.0,0,0
Freeburg,MIS_IL,DFO,0,1.8,0,0
Freeburg,MIS_IL,DFO,0,2.6,0,0
Freeburg,MIS_IL,DFO,0,1.8,0,0
Freeburg,MIS_IL,DFO,0,1.8,0,0
Geneseo,PJM_COMD,NG,0,5.6,0,0
Geneseo,PJM_COMD,WND,0,1.5,0,0
Geneseo,PJM_COMD,WND,0,1.5,0,0
Geneseo,PJM_COMD,SUN,0,1.2,0,0
Geneseo,PJM_COMD,NG,0,3.5,0,0
Geneseo,PJM_COMD,NG,0,3.5,0,0
Geneseo,PJM_COMD,NG,0,1.6,0,0
Geneseo,PJM_COMD,NG,0,4.4,0,0
Geneseo,PJM_COMD,NG,0,3.0,0,0
Geneseo,PJM_COMD,NG,0,3.0,0,0
Geneseo,PJM_COMD,DFO,0,4.8,0,0
Highland,MIS_IL,DFO,0,1.6,0,0
Highland,MIS_IL,DFO,0,1.6,0,0
Highland,MIS_IL,DFO,0,1.6,0,0
Highland,MIS_IL,DFO,0,4.4,0,0
Highland,MIS_IL,DFO,0,4.4,0,0
McLeansboro,MIS_IL,DFO,0,0.6,0,0
McLeansboro,MIS_IL,DFO,0,2.0,0,0
McLeansboro,MIS_IL,DFO,0,2.4,0,0
McLeansboro,MIS_IL,DFO,0,1.1,0,0
McLeansboro,MIS_IL,DFO,0,1.1,0,0
McLeansboro,MIS_IL,DFO,0,2.0,0,0
Marshall (IL),MIS_IL,DFO,0,1.8,0,0
Marshall (IL),MIS_IL,DFO,0,1.8,0,0
Marshall (IL),MIS_IL,DFO,0,1.8,0,0
Marshall (IL),MIS_IL,DFO,0,1.8,0,0
Marshall (IL),MIS_IL,DFO,0,2.5,0,0
Marshall (IL),MIS_IL,DFO,0,1.8,0,0
Marshall (IL),MIS_IL,DFO,0,1.8,0,0
Marshall (IL),MIS_IL,DFO,0,1.8,0,0
Marshall (IL),MIS_IL,DFO,0,1.8,0,0
City of Peru Plank Road Generating Station,PJM_COMD,DFO,0,2.7,0,0
City of Peru Plank Road Generating Station,PJM_COMD,DFO,0,2.7,0,0
City of Peru Plank Road Generating Station,PJM_COMD,DFO,0,2.7,0,0
City of Peru Plank Road Generating Station,PJM_COMD,DFO,0,2.7,0,0
City of Peru Plank Road Generating Station,PJM_COMD,DFO,0,2.7,0,0
Princeton (IL),PJM_COMD,NG,0,2.3,0,0
Princeton (IL),PJM_COMD,NG,0,3.0,0,0
Princeton (IL),PJM_COMD,NG,0,3.4,0,0
Princeton (IL),PJM_COMD,NG,0,3.4,0,0
Princeton (IL),PJM_COMD,NG,0,4.4,0,0
Princeton (IL),PJM_COMD,NG,0,5.6,0,0
Princeton (IL),PJM_COMD,NG,0,7.0,0,0
Princeton (IL),PJM_COMD,NG,0,8.8,0,0
Rantoul,MIS_IL,DFO,0,1.8,0,0
Rantoul,MIS_IL,DFO,0,1.8,0,0
Rantoul,MIS_IL,DFO,0,1.8,0,0
Rantoul,MIS_IL,DFO,0,1.8,0,0
Rantoul,MIS_IL,DFO,0,1.8,0,0
Rantoul,MIS_IL,DFO,0,1.8,0,0
Rantoul,MIS_IL,DFO,0,1.8,0,0
Rantoul,MIS_IL,DFO,0,1.8,0,0
Red Bud,MIS_IL,DFO,0,2.4,0,0
Red Bud,MIS_IL,DFO,0,1.1,0,0
Red Bud,MIS_IL,DFO,0,2.4,0,0
Red Bud,MIS_IL,DFO,0,3.5,0,0
Red Bud,MIS_IL,DFO,0,2.8,0,0
Red Bud,MIS_IL,DFO,0,2.8,0,0
North Ninth Street,PJM_COMD,DFO,0,0.3,0,0
North Ninth Street,PJM_COMD,NG,0,2.5,0,0
North Ninth Street,PJM_COMD,NG,0,2.5,0,0
North Ninth Street,PJM_COMD,DFO,0,1.0,0,0
North Ninth Street,PJM_COMD,NG,0,2.5,0,0
North Ninth Street,PJM_COMD,NG,0,3.8,0,0
North Ninth Street,PJM_COMD,DFO,0,1.0,0,0
North Ninth Street,PJM_COMD,NG,0,3.5,0,0
North Ninth Street,PJM_COMD,SUN,0,0.3,0,0
South Main Street,PJM_COMD,NG,0,2.5,0,0
South Main Street,PJM_COMD,DFO,0,1.8,0,0
South Main Street,PJM_COMD,DFO,0,1.8,0,0
South Main Street,PJM_COMD,DFO,0,1.8,0,0
South Main Street,PJM_COMD,DFO,0,1.8,0,0
South Main Street,PJM_COMD,DFO,0,1.8,0,0
South Main Street,PJM_COMD,DFO,0,1.8,0,0
South Main Street,PJM_COMD,NG,0,2.5,0,0
Dallman,MIS_IL,BIT,0,230.1,0,0
Lakeside,MIS_IL,DFO,0,1.8,0,0
Lakeside,MIS_IL,DFO,0,1.8,0,0
Lakeside,MIS_IL,DFO,0,1.8,0,0
Reynolds,MIS_IL,DFO,0,17.5,0,0
Sullivan (IL),MIS_IL,DFO,0,4.3,0,0
Sullivan (IL),MIS_IL,DFO,0,2.4,0,0
Sullivan (IL),MIS_IL,DFO,0,2.0,0,0
Sullivan (IL),MIS_IL,DFO,0,1.1,0,0
Sullivan (IL),MIS_IL,DFO,0,2.3,0,0
Sullivan (IL),MIS_IL,DFO,0,2.3,0,0
Sullivan (IL),MIS_IL,DFO,0,2.3,0,0
Sullivan (IL),MIS_IL,DFO,0,2.0,0,0
Sullivan (IL),MIS_IL,DFO,0,1.5,0,0
Sullivan (IL),MIS_IL,DFO,0,1.1,0,0
Sullivan (IL),MIS_IL,DFO,0,2.4,0,0
Waterloo,MIS_IL,DFO,0,3.1,0,0
Waterloo,MIS_IL,DFO,0,1.8,0,0
Waterloo,MIS_IL,DFO,0,1.8,0,0
Waterloo,MIS_IL,NG,0,6.6,0,0
Waterloo,MIS_IL,NG,0,7.0,0,0
Waterloo,MIS_IL,DFO,0,0.2,0,0
Waterloo,MIS_IL,DFO,0,0.2,0,0
Waterloo,MIS_IL,DFO,0,2.0,0,0
Waterloo,MIS_IL,DFO,0,0.5,0,0
Waterloo,MIS_IL,DFO,0,0.5,0,0
Waterloo,MIS_IL,DFO,0,1.7,0,0
Waterloo,MIS_IL,DFO,0,3.0,0,0
Waterloo,MIS_IL,DFO,0,1.8,0,0
Winnetka,PJM_COMD,NG,0,9.4,0,0
Winnetka,PJM_COMD,NG,0,6.3,0,0
Winnetka,PJM_COMD,NG,0,12.5,0,0
Winnetka,PJM_COMD,DFO,0,2.6,0,0
Winnetka,PJM_COMD,DFO,0,2.6,0,0
Marion,MIS_IL,BIT,0,33.0,0,0
Marion,MIS_IL,BIT,0,33.0,0,0
Marion,MIS_IL,BIT,0,33.0,0,0
Marion,MIS_IL,NG,0,75.0,0,0
Marion,MIS_IL,NG,0,75.0,0,0
Clifty Creek,MIS_INKY,BIT,0,217.3,0,0
Clifty Creek,MIS_INKY,BIT,0,217.3,0,0
Clifty Creek,MIS_INKY,BIT,0,217.3,0,0
Clifty Creek,MIS_INKY,BIT,0,217.3,0,0
Clifty Creek,MIS_INKY,BIT,0,217.3,0,0
Clifty Creek,MIS_INKY,BIT,0,217.3,0,0
Elkhart,MIS_INKY,WAT,0,1.4,0,0
Elkhart,MIS_INKY,WAT,0,1.0,0,0
Elkhart,MIS_INKY,WAT,0,1.0,0,0
Twin Branch,PJM_West,WAT,0,0.6,0,0
Twin Branch,PJM_West,WAT,0,0.6,0,0
Twin Branch,PJM_West,WAT,0,0.6,0,0
Twin Branch,PJM_West,WAT,0,0.6,0,0
Twin Branch,PJM_West,WAT,0,0.6,0,0
Twin Branch,PJM_West,WAT,0,0.6,0,0
Twin Branch,PJM_West,WAT,0,0.6,0,0
Twin Branch,PJM_West,WAT,0,0.6,0,0
Harding Street,MIS_INKY,NG,0,100.0,0,0
Harding Street,MIS_INKY,NG,0,100.0,0,0
Harding Street,MIS_INKY,NG,0,463.0,0,0
Harding Street,MIS_INKY,MWH,0,20.0,0,0
Harding Street,MIS_INKY,DFO,0,26.0,0,0
Harding Street,MIS_INKY,DFO,0,26.0,0,0
Harding Street,MIS_INKY,NG,0,83.0,0,0
Harding Street,MIS_INKY,NG,0,83.0,0,0
Harding Street,MIS_INKY,NG,0,161.0,0,0
Harding Street,MIS_INKY,DFO,0,2.7,0,0
Eagle Valley (IN),MIS_INKY,NG,0,207.0,0,0
Eagle Valley (IN),MIS_INKY,NG,0,207.0,0,0
Eagle Valley (IN),MIS_INKY,NG,0,230.0,0,0
CC Perry K,MIS_INKY,NG,0,5.0,0,0
AES Petersburg,MIS_INKY,BIT,0,670.9,0,0
AES Petersburg,MIS_INKY,DFO,0,2.7,0,0
AES Petersburg,MIS_INKY,DFO,0,2.7,0,0
AES Petersburg,MIS_INKY,DFO,0,2.7,0,0
AES Petersburg,MIS_INKY,BIT,0,670.9,0,0
Norway (IN),MIS_INKY,WAT,0,2.0,0,0
Norway (IN),MIS_INKY,WAT,0,2.0,0,0
Norway (IN),MIS_INKY,WAT,0,2.0,0,0
Norway (IN),MIS_INKY,WAT,0,1.3,0,0
Oakdale,MIS_INKY,WAT,0,4.3,0,0
Oakdale,MIS_INKY,WAT,0,3.2,0,0
Oakdale,MIS_INKY,WAT,0,4.3,0,0
Cayuga,MIS_INKY,BIT,0,531.0,0,0
Cayuga,MIS_INKY,BIT,0,531.0,0,0
Cayuga,MIS_INKY,DFO,0,2.6,0,0
Cayuga,MIS_INKY,DFO,0,2.6,0,0
Cayuga,MIS_INKY,DFO,0,2.6,0,0
Cayuga,MIS_INKY,DFO,0,2.6,0,0
Cayuga,MIS_INKY,NG,0,112.5,0,0
Edwardsport,MIS_INKY,SGC,0,240.6,0,0
Edwardsport,MIS_INKY,SGC,0,240.6,0,0
Edwardsport,MIS_INKY,SGC,0,331.5,0,0
Markland,MIS_INKY,WAT,0,25.9,0,0
Markland,MIS_INKY,WAT,0,25.9,0,0
Markland,MIS_INKY,WAT,0,25.9,0,0
