Line,From,To,TTC_Capacity_2028
PJM_AP-PJM_ATSI,PJM_AP,PJM_ATSI,2444
PJM_AP-PJM_Dom,PJM_AP,PJM_Dom,6220
PJM_AP-PJM_PENE,PJM_AP,PJM_PENE,2785
PJM_AP-PJM_SMAC,PJM_AP,PJM_SMAC,1100
PJM_AP-PJM_West,PJM_AP,PJM_West,3395
PJM_ATSI-PJM_AP,PJM_ATSI,PJM_AP,2444
PJM_ATSI-PJM_West,PJM_ATSI,PJM_West,7400
PJM_COMD-PJM_West,PJM_COMD,PJM_West,980
PJM_Dom-PJM_AP,PJM_Dom,PJM_AP,6220
PJM_Dom-PJM_SMAC,PJM_Dom,PJM_SMAC,1200
PJM_Dom-PJM_West,PJM_Dom,PJM_West,3873
PJM_EMAC-PJM_SMAC,PJM_EMAC,PJM_SMAC,300
PJM_EMAC-PJM_WMAC,PJM_EMAC,PJM_WMAC,9350
PJM_PENE-PJM_AP,PJM_PENE,PJM_AP,2785
PJM_PENE-PJM_WMAC,PJM_PENE,PJM_WMAC,5173
PJM_SMAC-PJM_AP,PJM_SMAC,PJM_AP,1100
PJM_SMAC-PJM_Dom,PJM_SMAC,PJM_Dom,1200
PJM_SMAC-PJM_EMAC,PJM_SMAC,PJM_EMAC,300
PJM_SMAC-PJM_WMAC,PJM_SMAC,PJM_WMAC,780
PJM_West-PJM_AP,PJM_West,PJM_AP,3395
PJM_West-PJM_ATSI,PJM_West,PJM_ATSI,7400
PJM_West-PJM_COMD,PJM_West,PJM_COMD,980
PJM_West-PJM_Dom,PJM_West,PJM_Dom,3873
PJM_WMAC-PJM_EMAC,PJM_WMAC,PJM_EMAC,9350
PJM_WMAC-PJM_PENE,PJM_WMAC,PJM_PENE,5173
PJM_WMAC-PJM_SMAC,PJM_WMAC,PJM_SMAC,780
