branch_idx,line,flow,limit,utilization,cost,capacity
0,True,173.41648750727967,2444.0,7.095600961836321,223217.76040587903,243382.43
1,True,231.7224342289954,6220.0,3.725441064774846,223217.76040587903,243382.43
2,True,1097.1969597274756,2785.0,39.39665923617506,223217.76040587903,243382.43
3,True,1731.2695916656453,1850.0,93.58214009003488,223217.76040587903,243382.43
4,True,708.3681738005649,3395.0,20.86504193816097,223217.76040587903,243382.43
5,True,173.41648750727967,2444.0,7.095600961836321,223217.76040587903,243382.43
6,True,534.9516862932853,7400.0,7.229076841801153,223217.76040587903,243382.43
7,True,172.59769240772803,980.0,17.612009429360004,223217.76040587903,243382.43
8,True,231.7224342289954,6220.0,3.725441064774846,223217.76040587903,243382.43
9,True,1499.5471574366497,1950.0,76.8998542275205,223217.76040587903,243382.43
10,True,476.64573957156955,3873.0,12.30688715650838,223217.76040587903,243382.43
11,True,882.4052141552386,1050.0,84.03859182430844,223217.76040587903,243382.43
12,True,450.08543192967335,9350.0,4.81374793507672,223217.76040587903,243382.43
13,True,1097.1969597274756,2785.0,39.39665923617506,223217.76040587903,243382.43
14,True,1495.9759053082087,5173.0,28.918923357978134,223217.76040587903,243382.43
15,True,1731.2695916656453,1850.0,93.58214009003488,223217.76040587903,243382.43
16,True,1499.5471574366497,1950.0,76.8998542275205,223217.76040587903,243382.43
17,True,882.4052141552386,1050.0,84.03859182430844,223217.76040587903,243382.43
18,True,1332.490646084912,1530.0,87.09089190097464,223217.76040587903,243382.43
19,True,708.3681738005649,3395.0,20.86504193816097,223217.76040587903,243382.43
20,True,534.9516862932853,7400.0,7.229076841801153,223217.76040587903,243382.43
21,True,172.59769240772803,980.0,17.612009429360004,223217.76040587903,243382.43
22,True,476.64573957156955,3873.0,12.30688715650838,223217.76040587903,243382.43
23,True,450.08543192967335,9350.0,4.81374793507672,223217.76040587903,243382.43
24,True,1495.9759053082087,5173.0,28.918923357978134,223217.76040587903,243382.43
25,True,1332.490646084912,1530.0,87.09089190097464,223217.76040587903,243382.43
